CODE_PAYS;CODE_MARQUE;CODE_CLIENT_ORDER;NOM_CLIENT_ORDER;VIN;CODE_CANAL_VN;L_CANAL;Type_LLD;F2MLInformation;NUM_IMMATRICULATION;GENRE;REF_VERSION;L_MODELE;L_VERSION_VEH;KM_ENTREE_PHYSIQUE;DATE_MEC_CLEAN;PRIX_VENTEVO_HT;PRIX_VENTEVO_TTC;HAB_EXT;LIBELLE_COULEUR;EMPTY_COLUMN
FR;ACC;080946K;VARADES AUTOMOBILES SA;;C250;LEASING / LLD;;;DF-005-DD;VU;CITROEN;Jumper;Jumper T�l� 30 L1H1 HDi 110 BVM6 Club;131477;22/04/2014 00:00;5950;7140;M0ZR;GRIS ALUMINIUM;42;
FR;33;020021M;SADAL ANNECY;;C250;LEASING / LLD;;;EP-934-BW;VP;CITROEN;C1;C1 5 portes VTi 68 BVM Millenium;8960;10/07/2017 00:00;7258,33;8710;M0XZ;NOIR CALDERA;;
FR;AC;020022N;ANOTIN REMIREMONT SAS;VF70BBHYBHE539035;C250;LEASING / LLD;;;EQ-838-TJ;VP;CITROEN;C4 Cactus;C4 Cactus BlueHDi 100 S&S BVM 82g Feel Business;3100;26/09/2017 00:00;12798,17;15357,8;M0VL;EVL  GRIS PLATINIUM;;
FR;AC;020030X;K2 AUTO;VF77B9HF0GJ699148;C250;F2ML;;;EE-663-EW;VU;CITROEN;Berlingo VU;Berlingo 20 L1 HDi 90 BVM Business;50305;27/07/2016 00:00;7988,71;9586,45;M09P;GRIS SHARK;;
FR;AC;020030X;K2 AUTO;VF7AAFHZ0E8533384;C250;F2ML;;;DQ-838-RP;VU;CITROEN;Nemo VU;Nemo HDi 75 BVM Club;41816;14/04/2015 00:00;6014,12;7216,94;P0WP;BLANC BANQUISE;
FR;AC;020030X;K2 AUTO;VF7PAHMTCHR805119;C250;LEASING / LLD;;;EP-885-HG;VP;CITROEN;C1;C1 5 portes PureTech 82 BVM Millenium;6247;20/07/2017 00:00;7466,67;8960;P0P8;BLANC LIPIZAN;
FR;AC;020030X;K2 AUTO;VF7PSCFBCGR636357;C250;LEASING / LLD;;;EL-928-XQ;VP;CITROEN;C1;C1 5 portes VTi 68 BVM Feel;5594;24/04/2017 00:00;6305;7566;M09A;GRIS CARLINITE;
FR;AC;020030X;K2 AUTO;VF7PSCFBCHR640138;C250;LEASING / LLD;;;EN-287-FP;VP;CITROEN;C1;C1 5 portes VTi 68 BVM Millenium;16657;13/06/2017 00:00;6933,33;8320;P0RK;ERK JELLY BERRY;
FR;AC;020030X;K2 AUTO;VF7PSCFBCHR643986;C250;LEASING / LLD;;;EP-974-HQ;VP;CITROEN;C1;C1 5 portes VTi 68 BVM Millenium;12517;20/07/2017 00:00;7091,67;8510;P0Y2;ROUGE SCARLET;
FR;AC;020030X;K2 AUTO;VF7VABHXHHZ054660;C250;LEASING / LLD;;;EN-002-RM;VP;CITROEN;SpaceTourer /Jumpy Combi;Jumpy Combi Taille XL BlueHDi 115 S&S BVM6 Confort;19749;27/06/2017 00:00;18340,33;22008,4;M0VL;EVL  GRIS PLATINIUM;
