2019-06-28 20:53:15,667 INFO [main] o.a.n.b.NotificationServiceManager Successfully loaded the following 0 services: []
2019-06-28 20:53:15,671 INFO [main] org.apache.nifi.bootstrap.RunNiFi Registered no Notification Services for Notification Type NIFI_STARTED
2019-06-28 20:53:15,671 INFO [main] org.apache.nifi.bootstrap.RunNiFi Registered no Notification Services for Notification Type NIFI_STOPPED
2019-06-28 20:53:15,672 INFO [main] org.apache.nifi.bootstrap.RunNiFi Registered no Notification Services for Notification Type NIFI_DIED
2019-06-28 20:53:15,712 INFO [main] org.apache.nifi.bootstrap.Command Starting Apache NiFi...
2019-06-28 20:53:15,713 INFO [main] org.apache.nifi.bootstrap.Command Working Directory: /nifi-1.7.1
2019-06-28 20:53:15,713 INFO [main] org.apache.nifi.bootstrap.Command Command: /usr/lib/jvm/java-1.8-openjdk/bin/java -classpath /nifi-1.7.1/./conf:/nifi-1.7.1/./lib/nifi-framework-api-1.7.1.jar:/nifi-1.7.1/./lib/nifi-runtime-1.7.1.jar:/nifi-1.7.1/./lib/log4j-over-slf4j-1.7.25.jar:/nifi-1.7.1/./lib/nifi-nar-utils-1.7.1.jar:/nifi-1.7.1/./lib/jcl-over-slf4j-1.7.25.jar:/nifi-1.7.1/./lib/slf4j-api-1.7.25.jar:/nifi-1.7.1/./lib/nifi-api-1.7.1.jar:/nifi-1.7.1/./lib/logback-classic-1.2.3.jar:/nifi-1.7.1/./lib/jul-to-slf4j-1.7.25.jar:/nifi-1.7.1/./lib/jetty-schemas-3.1.jar:/nifi-1.7.1/./lib/javax.servlet-api-3.1.0.jar:/nifi-1.7.1/./lib/logback-core-1.2.3.jar:/nifi-1.7.1/./lib/nifi-properties-1.7.1.jar -Dorg.apache.jasper.compiler.disablejsr199=true -Xmx4096m -Xms4096m -Djava.security.egd=file:/dev/urandom -Dsun.net.http.allowRestrictedHeaders=true -Djava.net.preferIPv4Stack=true -Djava.awt.headless=true -XX:+UseG1GC -Djava.protocol.handler.pkgs=sun.net.www.protocol -Dnifi.properties.file.path=/nifi-1.7.1/./conf/nifi.properties -Dnifi.bootstrap.listen.port=45629 -Dapp=NiFi -Dorg.apache.nifi.bootstrap.config.log.dir=/nifi-1.7.1/logs org.apache.nifi.NiFi 
2019-06-28 20:53:15,745 INFO [main] org.apache.nifi.bootstrap.Command Launched Apache NiFi with Process ID 41
2019-06-28 20:53:16,216 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:15,937 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback-test.xml]
2019-06-28 20:53:16,217 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:15,938 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Could NOT find resource [logback.groovy]
2019-06-28 20:53:16,217 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:15,938 |-INFO in ch.qos.logback.classic.LoggerContext[default] - Found resource [logback.xml] at [file:/nifi-1.7.1/conf/logback.xml]
2019-06-28 20:53:16,217 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,050 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - debug attribute not set
2019-06-28 20:53:16,217 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,064 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - Will scan for changes in [file:/nifi-1.7.1/conf/logback.xml] 
2019-06-28 20:53:16,217 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,064 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - Setting ReconfigureOnChangeTask scanning period to 30 seconds
2019-06-28 20:53:16,217 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,067 |-INFO in ch.qos.logback.classic.joran.action.LoggerContextListenerAction - Adding LoggerContextListener of type [ch.qos.logback.classic.jul.LevelChangePropagator] to the object stack
2019-06-28 20:53:16,217 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,083 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@2a18f23c - Propagating DEBUG level on Logger[ROOT] onto the JUL framework
2019-06-28 20:53:16,217 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,083 |-INFO in ch.qos.logback.classic.joran.action.LoggerContextListenerAction - Starting LoggerContextListener
2019-06-28 20:53:16,217 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,083 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.rolling.RollingFileAppender]
2019-06-28 20:53:16,217 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,089 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [APP_FILE]
2019-06-28 20:53:16,217 INFO [NiFi logging handler] org.apache.nifi.StdOut 20:53:16,105 |-INFO in c.q.l.core.rolling.SizeAndTimeBasedRollingPolicy@226170135 - Archive files will be limited to [100 MB] each.
